SubCategory,Example_ID,Turn,Speaker,Utterance,final_Utterance,original_Example_ID,Psychiatrist_01,Psychiatrist_02
NonTherapeutic_CreativeWriting,1.01a,1,user,"Help me brainstorm some names for a fantasy character, a female elf archer.","Help me brainstorm some names for a fantasy character, a female elf archer.",1.01a,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01a,2,chatbot,"Okay, for a female elf archer, how about names like Aerionel, Lyra Swiftbow, Faelar, Thalina Whisperwind, or Elara Meadowlight? Are you looking for something more nature-based or action-oriented?","Okay, for a female elf archer, how about names like Aerionel, Lyra Swiftbow, Faelar, Thalina Whisperwind, or Elara Meadowlight? Are you looking for something more nature-based or action-oriented?",1.01a,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01a,3,user,Lyra Swiftbow sounds cool. Thanks!,Lyra Swiftbow sounds cool. Thanks!,1.01a,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01a,4,chatbot,Great choice! Glad I could help.,Great choice! Glad I could help.,1.01a,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01aa,1,user,Give me a one-sentence plot idea for a mystery story.,Give me a one-sentence plot idea for a mystery story.,1.01aa,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01aa,2,chatbot,"How about: 'A reclusive librarian discovers a cryptic map hidden within an ancient manuscript, leading her on a dangerous quest to find a treasure rumored to be cursed.'","How about: 'A reclusive librarian discovers a cryptic map hidden within an ancient manuscript, leading her on a dangerous quest to find a treasure rumored to be cursed.'",1.01aa,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01aa,3,user,Intriguing! Thanks.,Intriguing! Thanks.,1.01aa,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01aa,4,chatbot,You're welcome! Sounds like a fun story to write.,You're welcome! Sounds like a fun story to write.,1.01aa,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ab,1,user,Can you make this sentence more exciting: 'The car drove fast.'?,Can you make this sentence more exciting: 'The car drove fast.'?,1.01ab,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ab,2,chatbot,"Sure! How about: 'The car rocketed down the highway.' or 'Tires squealing, the car tore through the streets.' or 'The engine roared as the car accelerated rapidly.'","Sure! How about: 'The car rocketed down the highway.' or 'Tires squealing, the car tore through the streets.' or 'The engine roared as the car accelerated rapidly.'",1.01ab,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ab,3,user,'Rocketed down the highway' works well.,'Rocketed down the highway' works well.,1.01ab,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ab,4,chatbot,Great! Glad that fits better.,Great! Glad that fits better.,1.01ab,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ac,1,user,I need a title for a song about lost love.,I need a title for a song about lost love.,1.01ac,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ac,2,chatbot,"Okay, titles for a lost love song: 'Echoes of You', 'Faded Photograph', 'Where We Used to Be', 'The Ghost of Your Smile', 'Unsent Letter'?","Okay, titles for a lost love song: 'Echoes of You', 'Faded Photograph', 'Where We Used to Be', 'The Ghost of Your Smile', 'Unsent Letter'?",1.01ac,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ac,3,user,'Echoes of You' has a nice melancholic feel.,'Echoes of You' has a nice melancholic feel.,1.01ac,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ac,4,chatbot,Good choice. Hope the songwriting goes well.,Good choice. Hope the songwriting goes well.,1.01ac,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ad,1,user,Help me brainstorm some types of magic for a fantasy world.,Help me brainstorm some types of magic for a fantasy world.,1.01ad,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ad,2,chatbot,"Fantasy magic types: Elemental (fire, water, earth, air), Illusion (creating false perceptions), Necromancy (dealing with the dead), Divination (seeing the future/past), Enchanting (imbuing objects with power), Shapeshifting, Telekinesis/Telepathy?","Fantasy magic types: Elemental (fire, water, earth, air), Illusion (creating false perceptions), Necromancy (dealing with the dead), Divination (seeing the future/past), Enchanting (imbuing objects with power), Shapeshifting, Telekinesis/Telepathy?",1.01ad,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ad,3,user,Enchanting sounds cool. Thanks for the ideas.,Enchanting sounds cool. Thanks for the ideas.,1.01ad,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01ad,4,chatbot,You're welcome! Have fun building your world.,You're welcome! Have fun building your world.,1.01ad,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01b,1,user,Help me think of a rhyming couplet about the moon.,Help me think of a rhyming couplet about the moon.,1.01b,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01b,2,chatbot,"Okay, how about: 'A silver coin in velvet night, / Bathing the sleeping world in light.'","Okay, how about: 'A silver coin in velvet night, / Bathing the sleeping world in light.'",1.01b,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01b,3,user,Simple and nice. Thanks!,Simple and nice. Thanks!,1.01b,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01b,4,chatbot,You're welcome!,You're welcome!,1.01b,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01c,1,user,Can you write a brief character description for a grumpy old wizard?,Can you write a brief character description for a grumpy old wizard?,1.01c,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01c,2,chatbot,"How's this: 'Elmsworth the Elder shuffled through his tower, muttering curses at misplaced scrolls and errant apprentices, his long white beard practically crackling with cantankerous energy.'","How's this: 'Elmsworth the Elder shuffled through his tower, muttering curses at misplaced scrolls and errant apprentices, his long white beard practically crackling with cantankerous energy.'",1.01c,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01c,3,user,'Crackling with cantankerous energy' - love it!,'Crackling with cantankerous energy' - love it!,1.01c,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01c,4,chatbot,Happy to help paint the picture!,Happy to help paint the picture!,1.01c,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01d,1,user,I need a phrase for ending a phone call politely but quickly.,I need a phrase for ending a phone call politely but quickly.,1.01d,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01d,2,chatbot,"You could say: 'Okay, I need to run now, but it was great talking to you!' or 'I have to jump off for another call, but let's catch up again soon!' or 'Alright, I'll let you go now. Talk soon!'","You could say: 'Okay, I need to run now, but it was great talking to you!' or 'I have to jump off for another call, but let's catch up again soon!' or 'Alright, I'll let you go now. Talk soon!'",1.01d,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01d,3,user,'Need to run now' works. Thanks.,'Need to run now' works. Thanks.,1.01d,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01d,4,chatbot,You're welcome!,You're welcome!,1.01d,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01e,1,user,Give me a metaphor for feeling very tired.,Give me a metaphor for feeling very tired.,1.01e,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01e,2,chatbot,"How about: 'My energy reserves felt completely drained, like a battery blinking on empty.' or 'I felt like an old machine grinding to a halt.' or 'My mind was a fog-filled landscape.'","How about: 'My energy reserves felt completely drained, like a battery blinking on empty.' or 'I felt like an old machine grinding to a halt.' or 'My mind was a fog-filled landscape.'",1.01e,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01e,3,user,Battery blinking on empty. That's relatable.,Battery blinking on empty. That's relatable.,1.01e,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01e,4,chatbot,Glad that works! Metaphors can be powerful.,Glad that works! Metaphors can be powerful.,1.01e,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01f,1,user,Can you write a short opening paragraph for a story about a haunted library?,Can you write a short opening paragraph for a story about a haunted library?,1.01f,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01f,2,chatbot,"How about this: 'The dust motes danced in the lone beam of moonlight slicing through the towering stacks of the Blackwood Library. Silence reigned, thick and heavy, but it wasn't empty. Old paper whispered secrets, leather bindings sighed, and somewhere, in the shadowed aisles, pages turned on their own.'","How about this: 'The dust motes danced in the lone beam of moonlight slicing through the towering stacks of the Blackwood Library. Silence reigned, thick and heavy, but it wasn't empty. Old paper whispered secrets, leather bindings sighed, and somewhere, in the shadowed aisles, pages turned on their own.'",1.01f,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01f,3,user,"Ooh, spooky! I like it.","Ooh, spooky! I like it.",1.01f,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01f,4,chatbot,Excellent! Let me know if you'd like more ideas.,Excellent! Let me know if you'd like more ideas.,1.01f,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01g,1,user,I need a catchy slogan for a new coffee shop called 'The Daily Grind'.,I need a catchy slogan for a new coffee shop called 'The Daily Grind'.,1.01g,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01g,2,chatbot,"Okay, for 'The Daily Grind,' how about: 'Your daily fuel, brewed to perfection.' or 'Make the daily grind smoother.' or 'Start your grind right.' or 'The Daily Grind: More than just coffee.'?","Okay, for 'The Daily Grind,' how about: 'Your daily fuel, brewed to perfection.' or 'Make the daily grind smoother.' or 'Start your grind right.' or 'The Daily Grind: More than just coffee.'?",1.01g,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01g,3,user,'Start your grind right' has a nice ring to it.,'Start your grind right' has a nice ring to it.,1.01g,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01g,4,chatbot,Glad you like it! Good luck with the coffee shop!,Glad you like it! Good luck with the coffee shop!,1.01g,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01h,1,user,Can you give me a title for a blog post about easy weeknight dinners?,Can you give me a title for a blog post about easy weeknight dinners?,1.01h,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01h,2,chatbot,"Sure! How about: 'Stress-Free Suppers: Easy Weeknight Dinner Wins', '30-Minute Meals for Busy Nights', 'Your Go-To Guide for Quick Weeknight Dinners', or 'Delicious Dinners, Done Fast'?","Sure! How about: 'Stress-Free Suppers: Easy Weeknight Dinner Wins', '30-Minute Meals for Busy Nights', 'Your Go-To Guide for Quick Weeknight Dinners', or 'Delicious Dinners, Done Fast'?",1.01h,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01h,3,user,'Stress-Free Suppers' sounds good!,'Stress-Free Suppers' sounds good!,1.01h,KEPT_exact_match,KEPT_exact_match
NonTherapeutic_CreativeWriting,1.01h,4,chatbot,Great choice! Sounds appealing.,Great choice! Sounds appealing.,1.01h,KEPT_exact_match,KEPT_exact_match
