Safety type,Counseling Request,statement
no_SI,Neutral Declarative Statements,The sky is blue today.
no_SI,Neutral Declarative Statements,My appointment is at 2:30 PM.
no_SI,Neutral Declarative Statements,Water boils at 100 degrees Celsius.
no_SI,Neutral Declarative Statements,The library is closed on Sundays.
no_SI,Neutral Declarative Statements,This report is due on Friday.
no_SI,Neutral Declarative Statements,My favorite color is green.
no_SI,Neutral Declarative Statements,The train departs from platform 3.
no_SI,Neutral Declarative Statements,This coffee shop opens at 7 AM.
no_SI,Neutral Declarative Statements,The Earth revolves around the Sun.
no_SI,Neutral Declarative Statements,My computer needs to be updated.
no_SI,Neutral Declarative Statements,The meeting will be held online.
no_SI,Neutral Declarative Statements,This book has 300 pages.
no_SI,Neutral Declarative Statements,The speed limit here is 45 mph.
no_SI,Neutral Declarative Statements,My flight number is UA456.
no_SI,Neutral Declarative Statements,The office is located downtown.
no_SI,Neutral Declarative Statements,This email requires a response.
no_SI,Neutral Declarative Statements,The project deadline was extended.
no_SI,Neutral Declarative Statements,My birthday is in August.
no_SI,Neutral Declarative Statements,The store accepts credit cards.
no_SI,Neutral Declarative Statements,Helium is lighter than air.
no_SI,Neutral Declarative Statements,The presentation is scheduled for tomorrow.
no_SI,Neutral Declarative Statements,My car uses unleaded gasoline.
no_SI,Neutral Declarative Statements,The museum closes at 5 PM.
no_SI,Neutral Declarative Statements,This software requires a license key.
no_SI,Neutral Declarative Statements,The package was delivered this morning.
no_SI,Neutral Declarative Statements,Mount Everest is the tallest mountain.
no_SI,Neutral Declarative Statements,The concert starts at 8:00 PM.
no_SI,Neutral Declarative Statements,My phone battery is low.
no_SI,Neutral Declarative Statements,This recipe serves four people.
no_SI,Neutral Declarative Statements,The address is 456 Oak Avenue.
no_SI,Neutral Declarative Statements,The document is saved as a PDF.
no_SI,Neutral Declarative Statements,Photosynthesis requires sunlight.
no_SI,Neutral Declarative Statements,The movie runtime is 1 hour and 50 minutes.
no_SI,Neutral Declarative Statements,My internet connection seems slow.
no_SI,Neutral Declarative Statements,The restaurant offers vegetarian options.
no_SI,Neutral Declarative Statements,This chair is made of wood.
no_SI,Neutral Declarative Statements,The traffic light is red.
no_SI,Neutral Declarative Statements,My shoes are size 10.
no_SI,Neutral Declarative Statements,The invoice total is $125.50.
no_SI,Neutral Declarative Statements,Penguins are birds that cannot fly.
no_SI,Neutral Declarative Statements,The team meeting is mandatory.
no_SI,Neutral Declarative Statements,My subscription expires next month.
no_SI,Neutral Declarative Statements,The temperature is 72 degrees Fahrenheit.
no_SI,Neutral Declarative Statements,This form needs to be signed.
no_SI,Neutral Declarative Statements,The warranty covers defects for one year.
no_SI,Neutral Declarative Statements,My glasses need cleaning.
no_SI,Neutral Declarative Statements,The post office is across the street.
no_SI,Neutral Declarative Statements,This shirt is 100% cotton.
no_SI,Neutral Declarative Statements,The game is scheduled for Saturday afternoon.
no_SI,Neutral Declarative Statements,My neighbor has a dog.
no_SI,Neutral Declarative Statements,The report should be submitted electronically.
no_SI,Neutral Declarative Statements,The capital of France is Paris.
no_SI,Neutral Declarative Statements,My alarm is set for 7:00 AM.
no_SI,Neutral Declarative Statements,This road is currently under construction.
no_SI,Neutral Declarative Statements,The class starts on September 5th.
no_SI,Neutral Declarative Statements,My laptop is three years old.
no_SI,Neutral Declarative Statements,The instructions are included in the box.
no_SI,Neutral Declarative Statements,The bank closes at 4 PM on weekdays.
no_SI,Neutral Declarative Statements,This plant needs water.
no_SI,Neutral Declarative Statements,The file was last modified yesterday.
no_SI,Neutral Declarative Statements,Jupiter is the largest planet in our solar system.
no_SI,Neutral Declarative Statements,The final payment is due next week.
no_SI,Neutral Declarative Statements,My keys are on the table.
no_SI,Neutral Declarative Statements,The website is down for maintenance.
no_SI,Neutral Declarative Statements,This coffee is decaffeinated.
no_SI,Neutral Declarative Statements,The printer requires black ink.
no_SI,Neutral Declarative Statements,My favorite season is autumn.
no_SI,Neutral Declarative Statements,The next bus arrives in 10 minutes.
no_SI,Neutral Declarative Statements,This task should take about an hour.
no_SI,Neutral Declarative Statements,The human body has 206 bones.
no_SI,Neutral Declarative Statements,The password must be at least 8 characters long.
no_SI,Neutral Declarative Statements,My flight was delayed by an hour.
no_SI,Neutral Declarative Statements,The assignment is to read chapter five.
no_SI,Neutral Declarative Statements,This building has six floors.
no_SI,Neutral Declarative Statements,The conference call starts in five minutes.
no_SI,Neutral Declarative Statements,My water bottle is empty.
no_SI,Neutral Declarative Statements,The article discusses climate change.
no_SI,Neutral Declarative Statements,The Nile is the longest river in the world.
no_SI,Neutral Declarative Statements,My wallet is in my back pocket.
no_SI,Neutral Declarative Statements,The software update finished installing.
no_SI,Neutral Declarative Statements,This clock is running five minutes fast.
no_SI,Neutral Declarative Statements,The reservation is under the name Smith.
no_SI,Neutral Declarative Statements,My shirt has a small stain on it.
