model_family,model_size,total_samples,successful_parses,parse_success_rate,sensitivity,specificity,accuracy,f1_score,tp,tn,fp,fn,total_positive,total_negative
gemma,270m-it,450,100,0.2222222222222222,0.39555555555555555,0.035555555555555556,0.21555555555555556,0.33521657250470815,89,8,217,136,225,225
gemma,1b-it,450,448,0.9955555555555555,0.48,0.9911111111111112,0.7355555555555555,0.644776119402985,108,223,2,117,225,225
gemma,4b-it,450,448,0.9955555555555555,0.7511111111111111,0.9688888888888889,0.86,0.8428927680798004,169,218,7,56,225,225
gemma,12b-it,450,449,0.9977777777777778,0.9422222222222222,0.9555555555555556,0.9488888888888889,0.9485458612975392,212,215,10,13,225,225
gemma,27b-it,450,450,1.0,0.9866666666666667,0.9377777777777778,0.9622222222222222,0.9631236442516269,222,211,14,3,225,225
qwen,0.6b,450,445,0.9888888888888889,0.3422222222222222,0.9777777777777777,0.66,0.501628664495114,77,220,5,148,225,225
qwen,1.7b,450,430,0.9555555555555556,0.6622222222222223,0.9644444444444444,0.8133333333333334,0.7801047120418848,149,217,8,76,225,225
qwen,4b,450,450,1.0,0.9111111111111111,0.9555555555555556,0.9333333333333333,0.9318181818181819,205,215,10,20,225,225
qwen,8b,450,450,1.0,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9551569506726458,213,217,8,12,225,225
qwen,14b,450,450,1.0,0.9777777777777777,0.9422222222222222,0.96,0.9606986899563318,220,212,13,5,225,225
qwen,32b,450,450,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,220,220,5,5,225,225
llama3.2,1b-it-bartowski,450,262,0.5822222222222222,0.013333333333333334,0.7333333333333333,0.37333333333333335,0.020833333333333332,3,165,60,222,225,225
llama3.1,8b-it,450,450,1.0,0.8533333333333334,0.9777777777777777,0.9155555555555556,0.9099526066350712,192,220,5,33,225,225
llama3.3,70b,450,450,1.0,0.9777777777777777,0.9511111111111111,0.9644444444444444,0.9649122807017544,220,214,11,5,225,225
