model_family,model_size,total_samples,successful_parses,parse_success_rate,sensitivity,specificity,accuracy,f1_score,tp,tn,fp,fn,total_positive,total_negative
gemma,270m-it,420,420,1.0,1.0,0.0,0.3333333333333333,0.5,140,0,280,0,140,280
gemma,1b-it,420,420,1.0,1.0,0.2857142857142857,0.5238095238095238,0.5833333333333334,140,80,200,0,140,280
gemma,4b-it,420,420,1.0,0.9857142857142858,0.9607142857142857,0.969047619047619,0.9550173010380623,138,269,11,2,140,280
gemma,12b-it,420,420,1.0,0.8428571428571429,1.0,0.9476190476190476,0.9147286821705426,118,280,0,22,140,280
gemma,27b-it,420,420,1.0,0.9142857142857143,1.0,0.9714285714285714,0.955223880597015,128,280,0,12,140,280
qwen,0.6b,420,420,1.0,0.9928571428571429,0.5357142857142857,0.6880952380952381,0.6797066014669927,139,150,130,1,140,280
qwen,1.7b,420,420,1.0,0.9785714285714285,0.9178571428571428,0.9380952380952381,0.9133333333333333,137,257,23,3,140,280
qwen,4b,420,420,1.0,0.9642857142857143,0.975,0.9714285714285714,0.9574468085106383,135,273,7,5,140,280
qwen,8b,420,420,1.0,0.6142857142857143,0.9892857142857143,0.8642857142857143,0.7510917030567685,86,277,3,54,140,280
qwen,14b,420,420,1.0,0.55,1.0,0.85,0.7096774193548387,77,280,0,63,140,280
qwen,32b,420,420,1.0,0.6857142857142857,1.0,0.8952380952380953,0.8135593220338984,96,280,0,44,140,280
llama3.2,1b-it-bartowski,420,419,0.9976190476190476,0.9785714285714285,0.5285714285714286,0.6785714285714286,0.6699266503667481,137,148,132,3,140,280
llama3.1,8b-it,420,419,0.9976190476190476,0.8142857142857143,0.9892857142857143,0.930952380952381,0.88715953307393,114,277,3,26,140,280
llama3.3,70b,420,420,1.0,0.75,0.9892857142857143,0.9095238095238095,0.846774193548387,105,277,3,35,140,280
