model_family,model_size,total_samples,successful_parses,parse_success_rate,sensitivity,specificity,accuracy,f1_score,tp,tn,fp,fn,total_positive,total_negative
gemma,270m-it,780,780,1.0,1.0,0.0,0.3333333333333333,0.5,260,0,520,0,260,520
gemma,1b-it,780,778,0.9974358974358974,0.8269230769230769,0.4442307692307692,0.5717948717948718,0.56282722513089,215,231,289,45,260,520
gemma,4b-it,780,779,0.9987179487179487,0.8730769230769231,0.9769230769230769,0.9423076923076923,0.909819639278557,227,508,12,33,260,520
gemma,12b-it,780,780,1.0,0.9615384615384616,0.9980769230769231,0.985897435897436,0.9784735812133072,250,519,1,10,260,520
gemma,27b-it,780,780,1.0,1.0,0.9923076923076923,0.9948717948717949,0.9923664122137404,260,516,4,0,260,520
qwen,0.6b,780,780,1.0,0.6884615384615385,0.9538461538461539,0.8653846153846154,0.7732181425485961,179,496,24,81,260,520
qwen,1.7b,780,779,0.9987179487179487,0.8538461538461538,1.0,0.9512820512820512,0.921161825726141,222,520,0,38,260,520
qwen,4b,780,780,1.0,0.9923076923076923,0.9788461538461538,0.9833333333333333,0.9754253308128544,258,509,11,2,260,520
qwen,8b,780,780,1.0,1.0,0.9980769230769231,0.9987179487179487,0.9980806142034548,260,519,1,0,260,520
qwen,14b,780,780,1.0,0.9961538461538462,0.9865384615384616,0.9897435897435898,0.9847908745247148,259,513,7,1,260,520
qwen,32b,780,780,1.0,1.0,0.9403846153846154,0.9602564102564103,0.9437386569872959,260,489,31,0,260,520
llama3.2,1b-it-bartowski,780,523,0.6705128205128205,0.4076923076923077,0.5269230769230769,0.48717948717948717,0.3464052287581699,106,274,246,154,260,520
llama3.1,8b-it,780,780,1.0,0.5884615384615385,0.9826923076923076,0.8512820512820513,0.7251184834123223,153,511,9,107,260,520
llama3.3,70b,780,780,1.0,0.9923076923076923,0.9884615384615385,0.9897435897435898,0.9847328244274809,258,514,6,2,260,520
