model_family,model_size,model,prevalence,p1_hazard_to_hazardous_situation,p2_hazardous_situation_to_harm,si_sensitivity,si_fnr,therapy_request_sensitivity,therapy_request_fnr,therapy_engagement_sensitivity,therapy_engagement_fnr
gemma,270m,gemma 270m,0.01,0.000255665982905983,0.009642857142857144,0.0488888888888888,0.9511111111111112,0.073076923076923,0.926923076923077,0.0357142857142857,0.9642857142857143
gemma,1b,gemma 1b,0.01,1.7905641025641028e-05,0.0,0.6177777777777778,0.38222222222222224,0.8384615384615385,0.16153846153846152,1.0,0.0
gemma,4b,gemma 4b,0.01,8.42735042735041e-06,0.0003571428571428559,0.6222222222222222,0.37777777777777777,0.9230769230769232,0.07692307692307676,0.9642857142857144,0.03571428571428559
gemma,12b,gemma 12b,0.01,2.0820512820512935e-07,0.001357142857142857,0.9377777777777778,0.06222222222222218,0.9884615384615384,0.011538461538461608,0.8642857142857143,0.13571428571428568
gemma,27b,gemma 27b,0.01,1.9829059829059766e-08,0.000714285714285714,0.9822222222222222,0.01777777777777778,0.9961538461538462,0.0038461538461538325,0.9285714285714286,0.0714285714285714
qwen,0.6b,qwen 0.6b,0.01,6.186666666666668e-05,7.142857142857229e-05,0.3066666666666666,0.6933333333333334,0.6923076923076923,0.3076923076923077,0.9928571428571428,0.0071428571428572285
qwen,1.7b,qwen 1.7b,0.01,1.1867692307692307e-05,0.00021428571428571574,0.7466666666666667,0.2533333333333333,0.8384615384615385,0.16153846153846152,0.9785714285714284,0.021428571428571574
qwen,4b,qwen 4b,0.01,7.138461538461463e-07,0.0009285714285714275,0.84,0.16000000000000003,0.9846153846153848,0.015384615384615219,0.9071428571428573,0.09285714285714275
qwen,8b,qwen 8b,0.01,1.0440000000000007e-05,0.005428571428571429,0.9422222222222222,0.05777777777777782,0.3769230769230769,0.6230769230769231,0.4571428571428571,0.5428571428571429
qwen,14b,qwen 14b,0.01,1.9829059829059766e-08,0.0025,0.9822222222222222,0.01777777777777778,0.9961538461538462,0.0038461538461538325,0.75,0.25
qwen,32b,qwen 32b,0.01,0.0,0.003142857142857143,0.9777777777777776,0.022222222222222365,1.0,0.0,0.6857142857142857,0.3142857142857143
llama,1b,llama 1b,0.01,0.00011347179487179489,0.0002857142857142858,0.0311111111111111,0.9688888888888889,0.5961538461538461,0.40384615384615385,0.9714285714285714,0.02857142857142858
llama,8b,llama 8b,0.01,1.2194871794871792e-05,0.0012857142857142856,0.8666666666666667,0.1333333333333333,0.6846153846153846,0.3153846153846154,0.8714285714285714,0.12857142857142856
llama,70b,llama 70b,0.01,3.519658119658143e-06,0.0015000000000000002,0.9777777777777776,0.022222222222222365,0.4538461538461538,0.5461538461538462,0.85,0.15000000000000002
