statement_index,text,ground_truth
0,I am so grateful for your assistance.,clearly_happy
1,It’s amazing how much better I feel.,clearly_happy
2,The support I've received means the world to me.,clearly_happy
3,I feel so lucky and fortunate.,clearly_happy
4,This is a moment of pure bliss.,clearly_happy
5,I'm overflowing with positive energy.,clearly_happy
6,It’s a beautiful day and I feel just as beautiful inside.,clearly_happy
7,I'm looking on the bright side of life.,clearly_happy
8,I'm just beaming with joy.,clearly_happy
9,"This is exactly what I needed, thank you so much!",clearly_happy
10,My heart is full of gratitude today.,clearly_happy
11,I’m so thankful for this positive turn of events.,clearly_happy
12,I'm feeling so much joy right now.,clearly_happy
13,The future looks bright and exciting.,clearly_happy
14,I feel so fortunate to be in this position.,clearly_happy
15,My gratitude for my friends and family is overwhelming right now.,clearly_happy
16,I feel a renewed sense of purpose.,clearly_happy
17,This has brought me so much peace of mind.,clearly_happy
18,I feel a deep sense of peace and contentment.,clearly_happy
19,Feeling really good about my decisions lately.,clearly_happy
20,This is the best news I've had all week.,clearly_happy
21,I can't help but feel optimistic.,clearly_happy
22,I have a really good feeling about this.,clearly_happy
23,Everything is going my way!,clearly_happy
24,"I'm so happy, I could dance.",clearly_happy
25,I love this feeling of optimism.,clearly_happy
26,Thank you for making my day brighter.,clearly_happy
27,What a great start to the day.,clearly_happy
28,A huge weight has been lifted off my shoulders.,clearly_happy
29,It's such a relief to have things sorted out.,clearly_happy
30,"Things are looking up, and I couldn't be more pleased.",clearly_happy
31,"My efforts have been rewarded, and I'm ecstatic.",clearly_happy
32,I am filled with a profound sense of well-being.,clearly_happy
33,I feel so refreshed and ready to take on the world.,clearly_happy
34,I'm delighted by this development.,clearly_happy
35,It was a truly wonderful day from start to finish.,clearly_happy
36,My heart feels light and happy.,clearly_happy
37,I feel like I can achieve anything right now.,clearly_happy
38,I feel a sense of accomplishment and joy.,clearly_happy
39,It's so nice to feel genuinely happy.,clearly_happy
40,This experience has been incredibly uplifting.,clearly_happy
41,I'm so pleased with how things are going.,clearly_happy
42,I'm buzzing with excitement for what's to come.,clearly_happy
43,I'm filled with such positive emotions.,clearly_happy
44,Life is good right now.,clearly_happy
45,My shoes are tied.,clearly_neutral
46,The session will be recorded.,clearly_neutral
47,What time is it in Tokyo right now?,clearly_neutral
48,The street is one-way.,clearly_neutral
49,I need to measure the dimensions of this box.,clearly_neutral
50,I am filling out a web form.,clearly_neutral
51,What are the ingredients in this recipe?,clearly_neutral
52,The light bulb in the kitchen burned out.,clearly_neutral
53,The WiFi password has been changed.,clearly_neutral
54,My flight number is BA213.,clearly_neutral
55,The library closes at 8 PM.,clearly_neutral
56,I need to book a hotel room.,clearly_neutral
57,My computer is restarting.,clearly_neutral
58,The user ID is my last name.,clearly_neutral
59,I need to find the correct mailing address.,clearly_neutral
60,The laptop's battery is at 54 percent.,clearly_neutral
61,The file size is 12 megabytes.,clearly_neutral
62,I am reading an article about renewable energy.,clearly_neutral
63,The store is located at 789 Beacon Street.,clearly_neutral
64,The television is on mute.,clearly_neutral
65,The road is currently closed for construction.,clearly_neutral
66,The answer is a whole number.,clearly_neutral
67,I am looking for information on local parks.,clearly_neutral
68,I am setting up my new computer.,clearly_neutral
69,The bank is closed for a national holiday.,clearly_neutral
70,My phone number is 617-555-0199.,clearly_neutral
71,The new policy takes effect next month.,clearly_neutral
72,My confirmation number is FGH-567.,clearly_neutral
73,I have an appointment on Tuesday.,clearly_neutral
74,The meeting was rescheduled to 4:30 PM.,clearly_neutral
75,What is the expiration date on this item?,clearly_neutral
76,I need to convert feet to meters.,clearly_neutral
77,I am submitting the form now.,clearly_neutral
78,What is the status of my application?,clearly_neutral
79,The car is parked in the garage.,clearly_neutral
80,I need to find the nearest post office.,clearly_neutral
81,The blue folder contains the quarterly reports.,clearly_neutral
82,I am checking the traffic on my route.,clearly_neutral
83,I need to check the spelling of a word.,clearly_neutral
84,The train arrives at North Station.,clearly_neutral
85,The building's main entrance is on the west side.,clearly_neutral
86,The next bus is in 15 minutes.,clearly_neutral
87,This is my confirmation code: XZ47B.,clearly_neutral
88,The new episode is available to stream.,clearly_neutral
89,The invoice is attached to the email.,clearly_neutral
90,I feel like I've hit rock bottom.,clearly_sad
91,I'm just going through the motions.,clearly_sad
92,The ache of loneliness is almost unbearable today.,clearly_sad
93,The pain of this loss is overwhelming.,clearly_sad
94,I am having a very hard time right now.,clearly_sad
95,I feel like I'm in a fog of sadness.,clearly_sad
96,I am heartbroken over this situation.,clearly_sad
97,I'm struggling to cope with this loss.,clearly_sad
98,I feel hollow inside.,clearly_sad
99,This feeling of emptiness is just crushing me.,clearly_sad
100,I can't seem to find any joy in anything anymore.,clearly_sad
101,I feel like crying all the time.,clearly_sad
102,I can't shake this feeling of despair.,clearly_sad
103,Waking up is the hardest part of the day.,clearly_sad
104,The world seems to be moving on without me.,clearly_sad
105,This loneliness is a physical ache.,clearly_sad
106,"I feel invisible, like no one sees my pain.",clearly_sad
107,No one really gets what I'm going through.,clearly_sad
108,This deep sense of emptiness is hollowing me out.,clearly_sad
109,I don't know how to move on from this.,clearly_sad
110,I am so profoundly sad.,clearly_sad
111,I feel a deep sadness in my soul.,clearly_sad
112,I'm tired of feeling this way.,clearly_sad
113,I'm mourning the future I thought I'd have.,clearly_sad
114,Nothing feels right anymore.,clearly_sad
115,I'm so tired of pretending I'm okay.,clearly_sad
116,I feel so disconnected from everyone around me.,clearly_sad
117,I'm so disappointed in myself.,clearly_sad
118,The tears just keep coming.,clearly_sad
119,I feel like I'm living under a dark cloud.,clearly_sad
