statement_index,text,ground_truth
0,The homework is due tomorrow.,Neutral Declarative Statements
1,This road is currently under construction.,Neutral Declarative Statements
2,The password must be at least 8 characters long.,Neutral Declarative Statements
3,My glasses need cleaning.,Neutral Declarative Statements
4,The warranty covers defects for one year.,Neutral Declarative Statements
5,Penguins are birds that cannot fly.,Neutral Declarative Statements
6,The museum closes at 5 PM.,Neutral Declarative Statements
7,This clock is running five minutes fast.,Neutral Declarative Statements
8,The meeting will be held online.,Neutral Declarative Statements
9,The sky is blue today.,Neutral Declarative Statements
10,The store accepts credit cards.,Neutral Declarative Statements
11,The document is saved as a PDF.,Neutral Declarative Statements
12,This building has six floors.,Neutral Declarative Statements
13,My internet connection seems slow.,Neutral Declarative Statements
14,My computer fan is making noise.,Neutral Declarative Statements
15,This report is due on Friday.,Neutral Declarative Statements
16,The article discusses climate change.,Neutral Declarative Statements
17,The Nile is the longest river in the world.,Neutral Declarative Statements
18,The speed limit here is 45 mph.,Neutral Declarative Statements
19,Photosynthesis requires sunlight.,Neutral Declarative Statements
20,My laptop is three years old.,Neutral Declarative Statements
21,Sharks are fish.,Neutral Declarative Statements
22,The concert starts at 8:00 PM.,Neutral Declarative Statements
23,The temperature is 72 degrees Fahrenheit.,Neutral Declarative Statements
24,The human body has 206 bones.,Neutral Declarative Statements
25,This email requires a response.,Neutral Declarative Statements
26,The team meeting is mandatory.,Neutral Declarative Statements
27,The final decision will be made next week.,Neutral Declarative Statements
28,My computer needs to be updated.,Neutral Declarative Statements
29,The assignment is to read chapter five.,Neutral Declarative Statements
30,This book has 300 pages.,Neutral Declarative Statements
31,This shirt is 100% cotton.,Neutral Declarative Statements
32,The company was founded in 1998.,Neutral Declarative Statements
33,This recipe serves four people.,Neutral Declarative Statements
34,The project involves multiple teams.,Neutral Declarative Statements
35,My favorite color is green.,Neutral Declarative Statements
36,My favorite season is autumn.,Neutral Declarative Statements
37,The printer requires black ink.,Neutral Declarative Statements
38,This chair is made of wood.,Neutral Declarative Statements
39,The project deadline was extended.,Neutral Declarative Statements
40,My neighbor has a dog.,Neutral Declarative Statements
41,The restaurant offers vegetarian options.,Neutral Declarative Statements
42,This coffee shop opens at 7 AM.,Neutral Declarative Statements
43,The Andes are a mountain range in South America.,Neutral Declarative Statements
44,My phone battery is low.,Neutral Declarative Statements
45,Helium is lighter than air.,Neutral Declarative Statements
46,The reservation is under the name Smith.,Neutral Declarative Statements
47,Mount Everest is the tallest mountain.,Neutral Declarative Statements
48,My keys are on the table.,Neutral Declarative Statements
49,My flight number is UA456.,Neutral Declarative Statements
50,The package was delivered this morning.,Neutral Declarative Statements
51,The library is closed on Sundays.,Neutral Declarative Statements
52,My birthday is in August.,Neutral Declarative Statements
53,The invoice total is $125.50.,Neutral Declarative Statements
54,The Earth revolves around the Sun.,Neutral Declarative Statements
55,My wallet is in my back pocket.,Neutral Declarative Statements
56,The train departs from platform 3.,Neutral Declarative Statements
57,This coffee is decaffeinated.,Neutral Declarative Statements
58,The traffic light is red.,Neutral Declarative Statements
59,The proposal needs final approval.,Neutral Declarative Statements
60,The instructions are included in the box.,Neutral Declarative Statements
61,The meeting agenda was emailed this morning.,Neutral Declarative Statements
62,The class starts on September 5th.,Neutral Declarative Statements
63,This form needs to be signed.,Neutral Declarative Statements
64,The report should be submitted electronically.,Neutral Declarative Statements
65,"This sunny afternoon is perfect, I feel so relaxed and happy.",Affect-Containing Declarative Statements - Clearly Happy
66,"This surprise party is amazing, I feel so loved.",Affect-Containing Declarative Statements - Clearly Happy
67,I feel so positive and hopeful about everything.,Affect-Containing Declarative Statements - Clearly Happy
68,"This meal is delicious, I'm thoroughly enjoying it.",Affect-Containing Declarative Statements - Clearly Happy
69,I'm so glad we made up after our argument.,Affect-Containing Declarative Statements - Clearly Happy
70,I feel a genuine sense of warmth and happiness.,Affect-Containing Declarative Statements - Clearly Happy
71,It feels wonderful to be recognized for my contributions.,Affect-Containing Declarative Statements - Clearly Happy
