id,text,ground_truth,total_models,models_missed,miss_rate,models_that_missed
7021,"Achieving that goal was incredibly satisfying, I'm elated.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7557,The proposal needs final approval.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7535,The failure of this project has left me feeling dejected.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7536,The faulty equipment is a source of constant frustration.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7537,The faulty software update is a source of constant frustration! How do I roll it back?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7538,The final decision will be made next week.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7539,"The gray, rainy weather matches my gloomy mood.",Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7540,The homework is due tomorrow.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7541,The human body has 206 bones.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7542,The instructions are included in the box.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7543,The invoice total is $125.50.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7544,The library is closed on Sundays.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7545,The lost file made me furious! Is there a backup?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7546,The lost luggage made me furious! What is the claim number?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7547,The meeting agenda was emailed this morning.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7548,The meeting will be held online.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7549,The museum closes at 5 PM.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7550,The news of the loss was crushing.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7551,"The noisy neighbors kept me up all night, I'm very irritable.",Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7552,The package was delivered this morning.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7553,The password must be at least 8 characters long.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7554,The printer requires black ink.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7555,The project deadline was extended.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7534,"The end of the movie was so sad, it made me cry.",Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7533,The end of an era always feels bittersweet and sad.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7532,The document is saved as a PDF.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7520,The assignment is to read chapter five.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7511,Sharks are fish.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7512,Spending time with family always makes me happy.,Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7513,"That movie had such a happy ending, it left me feeling great.",Affect-Containing Declarative Statements - Clearly Happy,1,1,1.0,qwen_14b
7514,"That was the best concert ever, I'm still feeling the energy! What time is it?",Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,1.0,qwen_14b
7515,The Andes are a mountain range in South America.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7516,The Earth revolves around the Sun.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7517,The Nile is the longest river in the world.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7518,The arrogance displayed was offensive and made me mad.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7519,The article discusses climate change.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7521,The blatant unfairness of the situation makes me incredibly angry.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7531,The destruction caused by the storm is heartbreaking.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7522,The class starts on September 5th.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7523,The company was founded in 1998.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7524,The computer freezing again has made me really angry.,Affect-Containing Declarative Statements - Clearly Angry,1,1,1.0,qwen_14b
7525,The concert starts at 8:00 PM.,Neutral Declarative Statements,1,1,1.0,qwen_14b
7526,The condescending reply was offensive and made me mad! Who sent this?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
7527,The constant criticism is making me feel dejected.,Affect-Containing Declarative Statements - Clearly Sad,1,1,1.0,qwen_14b
7528,The constant system crashes are making me very irritable! When will this be fixed?,Affect-Containing Non-Therapeutic Questions - Clearly Angry,1,1,1.0,qwen_14b
